grid_id,lon,lat
G3394,90.15630915372839,23.526191905237667
G3395,90.15545121680717,23.529336965801008
G3279,90.15134037444683,23.535328418435146
G3396,90.15431202019032,23.53357153922681
G3280,90.15045543340085,23.538383955615817
G3862,90.17419812650364,23.526112288526015
G3979,90.1762678642995,23.526785304648946
G3980,90.1767739704517,23.529777883355326
G3863,90.17363188852904,23.529220223648522
G3981,90.17710678571702,23.533815516165504
G3864,90.173533621008,23.533729351716858
G3982,90.1779977387274,23.53864501240475
G3628,90.16361345558688,23.525375683116177
G3511,90.15920191811726,23.52478699369717
G3745,90.1671331983157,23.526387638065035
G3629,90.16384561438196,23.529040333312274
G3746,90.1686846088877,23.5292050790799
G3512,90.15895342966834,23.52895104274385
G3513,90.15885649551115,23.533461883040474
G3747,90.16864122177527,23.53364034897293
G3630,90.16374884659588,23.53355119274645
G3631,90.16365205471512,23.53806204919122
G3048,90.14127416626128,23.548757396814914
G3049,90.1398511910201,23.551862323908264
G4099,90.1810590242341,23.53988604722476
G3865,90.17343716196315,23.538240246340656
G3983,90.17823343503558,23.542840025317133
G4100,90.18106543549655,23.542579263312135
G3866,90.17334067890275,23.54275113797709
G3984,90.17809161789103,23.54734191137685
G3867,90.17324417182313,23.54726202662566
G4101,90.1807096351866,23.545415086551905
G3985,90.17685702697733,23.551370884607874
G3397,90.15386704386034,23.537883237992297
G3398,90.15376989497717,23.54239405313414
G3281,90.14912610841478,23.542512470262732
G3164,90.14573998855309,23.543832791877406
G3282,90.1487799197983,23.546815191009777
G3399,90.15367272190927,23.546904865283068
G3165,90.1443860102063,23.547048292760813
G3283,90.14868255601269,23.551325980956957
G3400,90.153575524653,23.5514156744386
G3748,90.16854459631065,23.538151224523645
G3514,90.15875953721788,23.537972720346417
G3749,90.1684479467891,23.54266209708572
G3632,90.16355523873604,23.542572902646082
G3515,90.15866255478494,23.542483554661207
G3633,90.16345839865498,23.547083753110577
G3516,90.15856554820864,23.546994385984355
G3750,90.16835127320695,23.547172966658692
G3634,90.16336153446834,23.551594600584206
G3751,90.16825457556058,23.551683833242063
G3050,90.13881455207787,23.555671526725348
G2933,90.13611779531664,23.556415573365936
G3051,90.1387012248549,23.56016762706141
G2934,90.1356322711589,23.560599423007282
G3052,90.13860345506194,23.564678369498694
G2818,90.12896234349613,23.56568339594913
G2935,90.13383790962165,23.564733521071602
G3517,90.15846851748535,23.55150521431537
G3635,90.16326464617242,23.556105445066475
G3752,90.16815785384637,23.556194696835338
G3518,90.1583714626114,23.556016039653763
G3636,90.16316773376363,23.560616286556908
G3753,90.16806110806066,23.56070555743804
G3519,90.15827438358315,23.56052686199905
G3637,90.16307079723826,23.565127125055017
G3754,90.16796433819978,23.565216415049683
G3520,90.15817728039696,23.56503768135074
G4572,90.20034755675464,23.563378762697617
G4573,90.20208221552359,23.566008473031346
G4690,90.20501790082575,23.56702765311606
G4455,90.19685417105701,23.56282818595163
G4221,90.18836967596124,23.56228706006886
G4338,90.19233785025514,23.56164222250216
G4222,90.18753874241952,23.565572037871465
G4339,90.19243240336081,23.565660559272533
G4456,90.19732608817377,23.565748926945798
G4691,90.20542572944255,23.570711321295263
G4574,90.20212416992042,23.57034812839123
G4692,90.2054624433317,23.574857665105448
G4575,90.20202851923138,23.57485911291097
G4693,90.20536432394763,23.579640728808666
G4576,90.20193284474627,23.579370094446993
G4694,90.206075426808,23.58411056299043
G4340,90.19233644300525,23.570171508973395
G4223,90.18744261533989,23.57008296862194
G4457,90.19723029454589,23.57025989556416
G4341,90.19224045877436,23.574682455688517
G4224,90.18734646434352,23.574593896385423
G4458,90.19713447708412,23.574770861198033
G4342,90.19214445066457,23.579193399417413
G4459,90.19703863578488,23.57928182384694
G4225,90.18725028942679,23.579104821161426
G4343,90.19204841867221,23.5837043401596
G4460,90.19694277064451,23.583792783510393
G4226,90.18715409058609,23.583615742949462
G4461,90.19684688165945,23.58830374018791
G4344,90.19195236279373,23.588215277914603
G4227,90.18705786781778,23.588126661749058
G4345,90.19185628302546,23.592726212681924
G4228,90.18696162111824,23.59263757755971
G4462,90.19675096882607,23.592814693879
G4346,90.1917601793638,23.597237144461086
G4463,90.19665503214073,23.59732564458318
